user_id,connect_user_id,ratings
10923,5914,1
10923,10685,1
10685,10923,1
10914,10925,1
10925,10914,1
10923,10737,1
10737,10923,1
10419,10914,4
10914,10419,4
10737,10921,1
10921,10737,1
10923,10914,1
10914,10923,1
10924,10923,1
10923,10924,1
10737,10914,1
10914,10737,1
10419,10923,1
10923,10419,1
10923,10921,3
10921,10923,3
10922,10924,2
10924,10922,2
10402,10923,1
10923,10402,1
10402,10921,3
10921,10402,3
10928,10929,1
10929,10928,1
10402,10401,1
10401,10402,1
10929,10401,1
10401,10929,1
10640,10931,1
10931,10640,1
10914,10931,1
10931,10914,1
10914,10935,1
10935,10914,1
10914,10663,1
10663,10914,1
9931,10935,5
10935,9931,5
10663,8646,1
8646,10663,1
9931,10663,1
10663,9931,1
10935,8646,1
8646,10935,1
8646,4528,2
4528,8646,2
10663,10936,1
10936,10663,1
10663,10935,1
10935,10663,1
4528,10935,7
10935,4528,7
10918,10663,7
10663,10918,7
5914,10710,1
10710,5914,1
10937,5914,1
5914,10937,1
10935,10710,1
10710,10935,1
5914,10935,1
10935,5914,1
10937,10710,1
10710,10937,1
10935,10937,1
10937,10935,1
10915,10937,7
10937,10915,7
10938,10935,1
10935,10938,1
10935,10762,1
10762,10935,1
10938,9931,1
9931,10938,1
8292,10935,1
10935,8292,1
10938,10762,1
10762,10938,1
9931,10762,1
10762,9931,1
10940,10663,1
10663,10940,1
9931,10918,2
10918,9931,2
10762,10663,1
10663,10762,1
10940,10762,1
10762,10940,1
10918,8749,2
8749,10918,2
9931,8749,1
8749,9931,1
10918,10941,7
10941,10918,7
10943,9870,4
9870,10943,4
9931,10477,3
10477,9931,3
10943,10693,1
10693,10943,1
10477,10943,1
10943,10477,1
10943,5763,7
5763,10943,7
9931,10941,5
10941,9931,5
10915,10918,7
10918,10915,7
10477,10941,1
10941,10477,1
10477,10946,7
10946,10477,7
10945,10913,7
10913,10945,7
10476,10943,1
10943,10476,1
10943,7794,6
7794,10943,6
10918,10710,7
10710,10918,7
4626,10477,1
10477,4626,1
10477,10949,1
10949,10477,1
7794,10949,1
10949,7794,1
10943,10949,1
10949,10943,1
10693,10477,4
10477,10693,4
5496,10943,1
10943,5496,1
7794,10951,1
10951,7794,1
7794,10693,7
10693,7794,7
10913,10476,1
10476,10913,1
10476,10627,1
10627,10476,1
10476,338,1
338,10476,1
10476,10953,1
10953,10476,1
338,10953,1
10953,338,1
10476,10951,1
10951,10476,1
338,10710,1
10710,338,1
10476,10710,1
10710,10476,1
10953,10710,1
10710,10953,1
338,8078,1
8078,338,1
10710,8078,1
8078,10710,1
8078,10953,1
10953,8078,1
338,10693,1
10693,338,1
7794,10918,1
10918,7794,1
10918,10945,1
10945,10918,1
7794,10945,1
10945,7794,1
10954,7794,1
7794,10954,1
8078,10945,1
10945,8078,1
8078,10954,2
10954,8078,2
7794,10955,1
10955,7794,1
10918,10954,5
10954,10918,5
10955,10915,1
10915,10955,1
10913,10955,1
10955,10913,1
7794,10915,2
10915,7794,2
9695,10956,4
10956,9695,4
10955,10954,1
10954,10955,1
10913,7794,1
7794,10913,1
10955,10918,1
10918,10955,1
10915,10954,1
10954,10915,1
10918,10913,1
10913,10918,1
10955,10956,1
10956,10955,1
10913,10915,1
10915,10913,1
10954,10956,1
10956,10954,1
7794,4626,1
4626,7794,1
10955,10945,1
10945,10955,1
10915,10945,1
10945,10915,1
10918,4626,2
4626,10918,2
10915,4626,1
4626,10915,1
10945,4626,1
4626,10945,1
4626,10955,1
10955,4626,1
10945,9695,1
9695,10945,1
10915,10476,1
10476,10915,1
10945,10476,1
10476,10945,1
10918,10958,1
10958,10918,1
10476,10955,1
10955,10476,1
10945,10959,1
10959,10945,1
10476,10959,1
10959,10476,1
4075,10913,1
10913,4075,1
10913,10710,1
10710,10913,1
10710,10960,1
10960,10710,1
10913,10952,4
10952,10913,4
10941,311,1
311,10941,1
10918,10961,1
10961,10918,1
10962,10918,1
10918,10962,1
10710,311,1
311,10710,1
10952,10918,7
10918,10952,7
10913,311,4
311,10913,4
10710,10941,1
10941,10710,1
10710,10963,1
10963,10710,1
10963,10941,1
10941,10963,1
10941,10964,1
10964,10941,1
10963,7794,1
